zip_code,label,date,actual_zhvi,pred_zhvi
01840,Lawrence (outer_suburb),2024-03-31,329800.1926016418,316428.2928348618
01840,Lawrence (outer_suburb),2024-04-30,331473.7206664309,319630.2610812716
01840,Lawrence (outer_suburb),2024-05-31,334741.251259788,323232.988079956
01840,Lawrence (outer_suburb),2024-06-30,337461.7936415973,325877.1505096029
01840,Lawrence (outer_suburb),2024-07-31,339690.59604650416,328617.38838338683
01840,Lawrence (outer_suburb),2024-08-31,341721.5830746896,329515.18469049037
01840,Lawrence (outer_suburb),2024-09-30,343572.5593465304,328218.7470338788
01840,Lawrence (outer_suburb),2024-10-31,345736.8537768024,327871.38217868656
01840,Lawrence (outer_suburb),2024-11-30,347699.0982667681,328141.6992819888
01840,Lawrence (outer_suburb),2024-12-31,350502.83500386187,328056.8423089846
02481,Wellesley (outer_suburb),2023-01-31,1742413.466847998,1749790.3564446343
02481,Wellesley (outer_suburb),2023-02-28,1747862.6203243437,1771794.7644496947
02481,Wellesley (outer_suburb),2023-03-31,1753899.2678843124,1805629.7687942574
02481,Wellesley (outer_suburb),2023-04-30,1770303.983456575,1838973.2178842097
02481,Wellesley (outer_suburb),2023-05-31,1794524.2702371187,1873757.6700841002
02481,Wellesley (outer_suburb),2023-06-30,1822861.6898151208,1901064.132064485
02481,Wellesley (outer_suburb),2023-07-31,1848212.133610325,1917411.7378755193
02481,Wellesley (outer_suburb),2023-08-31,1866237.8129540635,1915535.6173429454
02481,Wellesley (outer_suburb),2023-09-30,1876255.3925486407,1895562.5812115897
02481,Wellesley (outer_suburb),2023-10-31,1880587.4571583285,1874843.8069857126
02481,Wellesley (outer_suburb),2023-11-30,1880449.1459750987,1862274.6388983738
02481,Wellesley (outer_suburb),2023-12-31,1882361.057270293,1862589.8824764334
02481,Wellesley (outer_suburb),2024-01-31,1884440.587622092,1873967.6784547996
02481,Wellesley (outer_suburb),2024-02-29,1894023.8459635123,1896033.357905621
02481,Wellesley (outer_suburb),2024-03-31,1912127.293882075,1929366.6603255356
02481,Wellesley (outer_suburb),2024-04-30,1939630.5134421708,1963102.01571739
02481,Wellesley (outer_suburb),2024-05-31,1966651.3939517748,1997751.9879854533
02481,Wellesley (outer_suburb),2024-06-30,1981772.0842447027,2024382.4352159172
02481,Wellesley (outer_suburb),2024-07-31,1987944.409511781,2040409.6170443515
02481,Wellesley (outer_suburb),2024-08-31,1990708.3420819333,2037717.468717292
02481,Wellesley (outer_suburb),2024-09-30,1994789.976451698,2017168.1854332897
02481,Wellesley (outer_suburb),2024-10-31,1999852.8283088831,1996283.3269730872
02481,Wellesley (outer_suburb),2024-11-30,2005594.8564962768,1984553.9525606788
02481,Wellesley (outer_suburb),2024-12-31,2013975.8566162896,1985648.6340451401
