true_label,pred_prob,pred_label
0,3.880104146947491e-06,0
1,0.7756913698950307,1
1,0.7496038153636492,1
0,0.0761940739651209,0
1,0.9877183707784315,1
1,0.9508491894265179,1
0,0.00035222515857833445,0
0,0.4201078395665934,0
0,0.7829215834575741,1
0,7.861166890249682e-05,0
1,0.15283733547994882,0
0,0.0002997420471478099,0
0,0.011089083038779002,0
1,0.33209206578759703,0
0,0.008948872242927624,0
0,0.016802064051142755,0
0,0.3057485550504369,0
0,0.05239638050609934,0
0,0.0019949399312945743,0
1,0.9356770450072827,1
0,0.007050484408958059,0
0,0.0001905453485874235,0
1,0.9506929360137532,1
0,0.04927212505756848,0
1,0.9818172319043049,1
0,0.8278058172477667,1
1,0.7224734749783128,1
0,0.0002543398738243019,0
0,0.02703068321592099,0
0,0.0002191074243866283,0
0,0.003950895918304295,0
1,0.922598457791561,1
1,0.4939493861490843,0
0,0.07208308582020759,0
0,0.06430364951521243,0
0,2.8761219436423755e-05,0
0,0.7171244707802475,1
0,0.011716166915002943,0
0,0.0038139253508170383,0
1,0.8380701064341513,1
0,0.39149271556011017,0
1,0.8333677150071657,1
0,0.0008830847367994857,0
0,0.032541654422695014,0
0,0.017570984705613815,0
1,0.2707510488713547,0
0,0.05507908699290075,0
0,0.0020740165406981214,0
0,0.0002981526356693347,0
0,0.0030441575239323402,0
0,5.287953258590455e-09,0
1,0.994496046078289,1
1,0.9012641981609847,1
0,0.043397085106276115,0
0,0.0019295979348589736,0
1,0.8625321955151973,1
1,0.8780105173945819,1
1,0.5763465122209233,1
0,0.0028825513915717517,0
0,0.06963921439783126,0
1,0.8254892570839306,1
1,0.8525498610131738,1
0,0.15818031095661195,0
0,0.014592822120143406,0
0,0.9136940051815124,1
1,0.0045780863389786415,0
1,0.8034326762865251,1
0,0.0029848041697906947,0
0,0.3884758191189612,0
0,0.04281583193625672,0
0,0.0736603694313658,0
0,0.002404360448553365,0
0,0.8574158478187105,1
1,0.9044228813639716,1
0,0.24137736696230716,0
0,0.6651601879143003,1
0,0.36581048631135515,0
0,0.8248916572234429,1
0,0.024834928231237764,0
1,0.9250945983246992,1
0,3.2140556824916254e-05,0
0,0.0534340676761244,0
1,0.06084663677856378,0
1,0.3473245803365457,0
0,1.984002139825559e-05,0
0,0.01295335950678488,0
0,0.6516087840008111,1
0,2.3789295169994033e-07,0
0,0.020434963809000957,0
0,0.0799199782987982,0
1,0.9587858657445866,1
0,0.001274848260375481,0
0,0.0542924201775885,0
0,0.0027759135429521976,0
0,0.0007624018796256682,0
0,0.0383395779144785,0
0,0.011411627144279648,0
0,0.4267569197752419,0
0,0.20499824792887042,0
0,7.862573997472519e-06,0
1,0.83691513093503,1
1,0.964297223431594,1
1,0.9733572652916475,1
1,0.9580600032231584,1
1,0.9942590693008878,1
0,0.059526743929748355,0
0,0.0798204216659171,0
0,3.5603715874656146e-06,0
1,0.7701704540155321,1
0,0.199598801885114,0
0,0.001931266843196854,0
0,0.8462042858483191,1
0,0.010745202375905878,0
0,0.14289092408961038,0
1,0.5419388702626731,1
0,1.564745045346477e-05,0
0,0.011207386684231414,0
0,0.21913208121007866,0
0,0.0042382961449374595,0
0,1.9900403698935525e-08,0
0,0.0012102159280701645,0
0,0.9042954457223313,1
0,0.530151351246323,1
0,0.2594739109127661,0
0,0.9573182519520784,1
1,0.7696000159334845,1
0,0.841556702028494,1
1,0.7880184427418959,1
0,0.06264787318161014,0
0,0.0006227730771799682,0
1,0.9927875565823139,1
1,0.9840696924090285,1
0,0.014489682446056215,0
0,0.24502202561794248,0
0,0.8356865709588631,1
0,0.928901793711212,1
1,0.14988537301564095,0
0,5.1197491408061925e-05,0
1,0.6740232698541677,1
1,0.8416562084882815,1
0,4.109625287296367e-06,0
1,0.9903526863951976,1
0,0.15503868883281802,0
0,3.7946072999375583e-06,0
0,0.08985496940114489,0
0,0.645654398924248,1
0,8.098113982545337e-06,0
0,0.014710904126851818,0
0,0.16935603078939795,0
0,0.0036250234319563364,0
0,0.0006460653935159047,0
1,0.5913326198845693,1
0,0.4752327853480091,0
0,0.00159576055813676,0
0,0.004871663834019006,0
0,0.01993054774084024,0
1,0.9189477945899963,1
0,0.0075316233197120115,0
0,0.21849330832072975,0
0,9.97601021055776e-06,0
1,0.8363198393375139,1
0,0.7375447523036452,1
0,0.0026893068532101356,0
0,0.8895713407444062,1
1,0.8114021047031392,1
0,0.012271367297968053,0
0,0.009803538795375101,0
0,0.015750539906710954,0
0,0.0020735289578190925,0
0,0.0004340019901942406,0
1,0.9619718614841876,1
0,0.022722495655278112,0
0,0.00044343210211092167,0
1,0.8331545643526194,1
0,0.01761261526463256,0
0,0.002534362038290877,0
0,0.21941753389452204,0
0,0.22234628313010482,0
0,0.038137846379097194,0
0,0.0003191414125864347,0
0,0.6322802244261163,1
0,0.07582703959003442,0
0,0.010020135569812577,0
0,0.017739161586390564,0
1,0.9663122285955019,1
0,0.7819098179363754,1
1,0.8519562902498211,1
0,0.082259603767163,0
1,0.8623368605241362,1
0,0.04864760950001132,0
1,0.9636986178553985,1
1,0.9610966419786527,1
1,0.8825846524212031,1
1,0.7717990232694454,1
0,0.005029484811418924,0
0,0.010369029243877018,0
0,0.41416787392545407,0
0,0.8415620600724242,1
0,0.08758820168269374,0
0,0.007306409017953433,0
1,0.919323821995335,1
0,0.05272496742762683,0
0,0.016130494959761106,0
0,0.08301142457916487,0
0,0.0007002244449057443,0
0,0.11348616608895612,0
0,0.2024993589175988,0
0,0.0838026581340603,0
0,0.625480834218861,1
0,0.04857136548103222,0
0,0.10007310232565854,0
0,0.00022267715064363842,0
0,0.09469664409813056,0
0,0.08613859807041979,0
0,0.016185755496979135,0
1,0.9924345183763592,1
0,0.1327319584649973,0
0,2.477342271147643e-05,0
0,0.9087828584551206,1
0,0.002915705851097387,0
0,0.001060232105524341,0
0,0.0808966780250207,0
0,0.0024180230532397473,0
0,0.0011130151897671768,0
0,0.5695913566176238,1
0,0.5181637801391369,1
0,0.024411695066383507,0
0,0.006870523196021892,0
0,0.0546731078380973,0
0,0.042691750771318655,0
1,0.9401917427232548,1
0,0.0008058975457006437,0
0,0.8877527224314257,1
0,0.8329823675703508,1
0,0.0309880324041642,0
0,4.482823090161671e-05,0
0,0.01038445384904737,0
0,0.0026431138636880975,0
